Datum,Durchschnittliche_Watchtime_min,Aufrufe,Kommentare,Clickrate_%
2026-02-01,3.84,384,2,3.72
2026-02-02,4.68,491,2,3.48
2026-02-03,3.36,540,0,3.84
2026-02-04,4.8,588,2,3.36
2026-02-05,4.2,624,0,4.08
2026-02-06,4.92,660,2,3.96
2026-02-07,3.6,672,0,3.24
2026-02-08,4.44,684,2,3.6
2026-02-09,3.48,696,0,3.72
2026-02-10,4.56,708,2,3.84
2026-02-11,3.84,714,0,3.48
2026-02-12,5.4,720,2,4.08
2026-02-13,3.12,722,0,3.36
2026-02-14,4.44,722,2,3.6
2026-02-15,3.72,722,0,3.24
2026-02-16,5.16,725,2,3.72
2026-02-17,3.6,729,0,3.96
2026-02-18,4.32,729,2,3.6
2026-02-19,4.8,730,2,4.08
2026-02-20,3.96,730,0,3.72
2026-02-21,4.56,734,0,3.48
2026-02-22,3.48,734,2,3.84
2026-02-23,5.52,734,2,3.6
2026-02-24,4.08,735,0,3.96
2026-02-25,3.36,735,0,3.84
2026-02-26,4.68,738,2,3.72
2026-02-27,3.84,738,0,3.36
2026-02-28,5.16,740,2,3.6
2026-03-01,3.72,740,0,3.48
2026-03-02,4.8,741,0,3.96
2026-03-03,4.2,743,0,3.72
2026-03-04,4.68,747,2,3.84
2026-03-05,3.6,748,0,3.36
2026-03-06,3.36,748,0,3.6
2026-03-07,4.92,750,3,3.48
2026-03-08,3.84,752,0,3.72
2026-03-09,4.32,752,2,3.6
2026-03-10,4.56,753,2,3.96
2026-03-11,3.96,755,0,3.6
2026-03-12,5.28,755,2,3.84
2026-03-13,4.44,755,2,4.08
2026-03-14,4.2,755,0,3.6
2026-03-15,4.68,756,0,3.84
2026-03-16,4.56,760,2,3.72
2026-03-17,4.92,762,2,3.6
2026-03-18,3.6,762,0,3.84
2026-03-19,4.08,762,0,3.72
2026-03-20,4.2,762,2,3.96
2026-03-21,4.8,762,2,4.08
2026-03-22,4.44,762,0,3.84
2026-03-23,3.96,762,0,3.6
2026-03-24,4.68,762,2,3.72
2026-03-25,3.84,762,0,12.24
2026-03-26,4.56,762,0,12.12
2026-03-27,4.32,762,2,12.36
2026-03-28,4.92,762,2,12.0
2026-03-29,4.08,762,0,12.48
2026-03-30,4.2,762,2,11.88
2026-03-31,4.68,762,0,12.24
2026-04-01,3.84,762,0,3.96
2026-04-02,5.28,762,2,3.72
2026-04-03,3.6,762,0,3.6
2026-04-04,4.56,762,0,3.84
2026-04-05,3.72,762,0,3.48
2026-04-06,4.8,762,2,4.08
2026-04-07,3.96,762,2,3.6
2026-04-08,3.36,762,0,3.72
2026-04-09,4.08,762,0,3.48
2026-04-10,4.2,762,0,3.84
2026-04-11,4.8,762,2,3.6
2026-04-12,4.68,762,0,3.72
2026-04-13,3.84,762,0,3.36
2026-04-14,3.48,748,0,3.6
2026-04-15,4.08,734,0,3.84
2026-04-16,4.32,719,2,3.72
2026-04-17,4.56,701,0,3.96
2026-04-18,3.72,688,0,3.48
2026-04-19,4.68,674,2,3.6
2026-04-20,5.28,659,2,3.72
2026-04-21,4.2,645,0,3.84
2026-04-22,4.44,632,2,3.6
2026-04-23,4.08,615,0,3.48
2026-04-24,4.56,599,2,3.72
2026-04-25,3.48,585,0,3.84
2026-04-26,4.32,570,0,3.6
2026-04-27,3.96,554,0,3.36
2026-04-28,4.44,537,2,3.6
2026-04-29,3.72,525,0,3.96
2026-04-30,4.2,509,2,3.72
